Model Name,Size,Base Dma Cycle Count,Reduced DMA Cycle Count,Reduction Factor,Speedup,,,,
cnn,32kb,137,43,68.61%,37.61%,,,,
elu,32kb,127,62,51.18%,28.90%,,,,
large_elu,32kb,207,110,46.86%,26.88%,,,,
lenet5,32kb,47,11,76.60%,45.44%,,,,
lstm,32kb,585,144,75.38%,46.76%,,,,
minerva,32kb,43,12,72.09%,52.34%,,,,
resnet,32kb,1863,1148,38.38%,18.95%,,,,
vgg,32kb,139,67,51.80%,29.62%,,,,
,,,,,,,,,
cnn,64kb,137,36,73.72%,41.57%,,,,
elu,64kb,127,59,53.54%,30.64%,,,,
large_elu,64kb,207,106,48.79%,28.30%,,,,
lenet5,64kb,47,10,78.72%,47.30%,,,,
lstm,64kb,585,144,75.38%,46.76%,,,,
minerva,64kb,43,12,72.09%,52.34%,,,,
resnet,64kb,1863,1136,39.02%,19.33%,,,,
vgg,64kb,139,64,53.96%,31.24%,,,,
,,,,,,,,,
cnn,128kb,137,30,78.10%,45.16%,,,,
elu,128kb,127,51,59.84%,35.53%,,,,
large_elu,128kb,207,103,50.24%,29.39%,,,,
lenet5,128kb,47,10,78.72%,47.30%,,,,
lstm,128kb,585,144,75.38%,46.76%,,,,
minerva,128kb,43,9,79.07%,60.46%,,,,
resnet,128kb,1863,1108,40.53%,20.22%,,,,
vgg,128kb,139,58,58.27%,34.61%,,,,
,,,,,,,,,
cnn,256kb,137,30,78.10%,45.16%,,,,
elu,256kb,127,42,66.93%,41.48%,,,,
large_elu,256kb,207,97,53.14%,31.62%,,,,
lenet5,256kb,47,10,78.72%,47.30%,,,,
lstm,256kb,585,144,75.38%,46.76%,,,,
minerva,256kb,43,9,79.07%,60.46%,,,,
resnet,256kb,1863,1039,44.23%,22.49%,,,,
vgg,256kb,139,51,63.31%,38.76%,,,,
,,,,,,,,,
cnn,512kb,137,30,78.10%,45.16%,,,,
elu,512kb,127,33,74.02%,47.98%,,,,
large_elu,512kb,207,91,56.04%,33.93%,,,,
lenet5,512kb,47,10,78.72%,47.30%,,,,
lstm,512kb,585,144,75.38%,46.76%,,,,
minerva,512kb,43,9,79.07%,60.46%,,,,
resnet,512kb,1863,998,46.43%,23.87%,,,,
vgg,512kb,139,46,66.91%,41.88%,,,,
,,,,,,,,,
cnn,1024kb,137,30,78.10%,45.16%,,,,
elu,1024kb,127,27,78.74%,52.66%,,,,
large_elu,1024kb,207,84,59.42%,36.73%,,,,
lenet5,1024kb,47,10,78.72%,47.30%,,,,
lstm,1024kb,585,144,75.38%,46.76%,,,,
minerva,1024kb,43,9,79.07%,60.46%,,,,
resnet,1024kb,1863,626,66.40%,38.04%,,,,
vgg,1024kb,139,42,69.78%,44.48%,,,,
,,,,,,,,,
cnn,2048kb,137,30,78.10%,45.16%,,,,
elu,2048kb,127,27,78.74%,52.66%,,,,
large_elu,2048kb,207,77,62.80%,39.65%,,,,
lenet5,2048kb,47,10,78.72%,47.30%,,,,
lstm,2048kb,585,144,75.38%,46.76%,,,,
minerva,2048kb,43,9,79.07%,60.46%,,,,
resnet,2048kb,1863,567,69.57%,40.59%,,,,
vgg,2048kb,139,35,74.82%,49.28%,,,,
