Model Name,Size,Base Dma Cycle Count,Reduced DMA Cycle Count,Reduction Factor,Speedup
cnn,32kb,137,43,0.686131386861314,0.376093645750111
elu,32kb,127,62,0.511811023622047,0.289021173500208
large_elu,32kb,207,110,0.468599033816425,0.26878814449516
lenet5,32kb,47,11,0.765957446808511,0.454380140205212
lstm,32kb,585,144,0.753846153846154,0.467619999105319
minerva,32kb,43,12,0.72093023255814,0.523364381002966
resnet,32kb,1863,1148,0.383789586688137,0.189472219210192
vgg,32kb,139,67,0.517985611510791,0.296234015216331
cnn,64kb,137,36,0.737226277372263,0.415744360712819
elu,64kb,127,59,0.535433070866142,0.306448462784743
large_elu,64kb,207,106,0.48792270531401,0.283009077664474
lenet5,64kb,47,10,0.787234042553192,0.472971501239981
lstm,64kb,585,144,0.753846153846154,0.467619999105319
minerva,64kb,43,12,0.72093023255814,0.523364381002966
resnet,64kb,1863,1136,0.390230810520666,0.193266751790412
vgg,64kb,139,64,0.539568345323741,0.312433492009766
cnn,128kb,137,30,0.781021897810219,0.451595406512474
elu,128kb,127,51,0.598425196850394,0.355311171624668
large_elu,128kb,207,103,0.502415458937198,0.293885753317432
lenet5,128kb,47,10,0.787234042553192,0.472971501239981
lstm,128kb,585,144,0.753846153846154,0.467619999105319
minerva,128kb,43,9,0.790697674418605,0.604636264755075
resnet,128kb,1863,1108,0.405260332796565,0.202215516659727
vgg,128kb,139,58,0.58273381294964,0.346078287192656
cnn,256kb,137,30,0.781021897810219,0.451595406512474
elu,256kb,127,42,0.669291338582677,0.414842543412551
large_elu,256kb,207,97,0.531400966183575,0.316201886955846
lenet5,256kb,47,10,0.787234042553192,0.472971501239981
lstm,256kb,585,144,0.753846153846154,0.467619999105319
minerva,256kb,43,9,0.790697674418605,0.604636264755075
resnet,256kb,1863,1039,0.442297369833602,0.224851536600191
vgg,256kb,139,51,0.633093525179856,0.38757796927501
cnn,512kb,137,30,0.781021897810219,0.451595406512474
elu,512kb,127,33,0.740157480314961,0.479843956062922
large_elu,512kb,207,91,0.560386473429952,0.339301319932118
lenet5,512kb,47,10,0.787234042553192,0.472971501239981
lstm,512kb,585,144,0.753846153846154,0.467619999105319
minerva,512kb,43,9,0.790697674418605,0.604636264755075
resnet,512kb,1863,998,0.46430488459474,0.238710228136788
vgg,512kb,139,46,0.669064748201439,0.418822535006803
cnn,1024kb,137,30,0.781021897810219,0.451595406512474
elu,1024kb,127,27,0.78740157480315,0.526601213440874
large_elu,1024kb,207,84,0.594202898550725,0.367296831462987
lenet5,1024kb,47,10,0.787234042553192,0.472971501239981
lstm,1024kb,585,144,0.753846153846154,0.467619999105319
minerva,1024kb,43,9,0.790697674418605,0.604636264755075
resnet,1024kb,1863,626,0.663982823403113,0.380423383330791
vgg,1024kb,139,42,0.697841726618705,0.444849876423928
cnn,2048kb,137,30,0.781021897810219,0.451595406512474
elu,2048kb,127,27,0.78740157480315,0.526601213440874
large_elu,2048kb,207,77,0.628019323671498,0.39648771429604
lenet5,2048kb,47,10,0.787234042553192,0.472971501239981
lstm,2048kb,585,144,0.753846153846154,0.467619999105319
minerva,2048kb,43,9,0.790697674418605,0.604636264755075
resnet,2048kb,1863,567,0.695652173913044,0.405933610682402
vgg,2048kb,139,35,0.748201438848921,0.492771681435367
